feature,log2FC,pval,padj,class,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,networkId,GATOM.abbr
PC(34:3),0.001848977231062017,0.9455441904503424,0.965168692516293,PC,PC 34:3,NA,NA,SPECIES,PC,PC(34:3)
PC(34:4),-0.6639244198221185,0.29177491213210927,0.4164913653389739,PC,PC 34:4,NA,NA,SPECIES,PC,PC(34:4)
PC(36:0),-0.13408449275692821,0.9797093813106641,0.9851724447752218,PC,PC 36:0,NA,NA,SPECIES,PC,PC(36:0)
PC(36:1),0.9250690881268312,0.006635917121597828,0.04193916155984714,PC,PC 36:1,NA,NA,SPECIES,PC,PC(36:1)
PC(36:2),0.9639824118145044,6.287388481017851e-5,0.004251846460288322,PC,PC 36:2,NA,NA,SPECIES,PC,PC(36:2)
PC(36:3),0.25384362458844456,0.303512820074282,0.4298440724088653,PC,PC 36:3,NA,NA,SPECIES,PC,PC(36:3)
PC(36:4),0.23068176212471203,0.4117132548060136,0.5290662015440698,PC,PC 36:4,NA,NA,SPECIES,PC,PC(36:4)
PC(36:5),0.059261118533640154,0.8979789682375078,0.930664026468375,PC,PC 36:5,NA,NA,SPECIES,PC,PC(36:5)
PC(36:6),-0.6943701842269576,0.4821954829235038,0.5875399915802152,PC,PC 36:6,NA,NA,SPECIES,PC,PC(36:6)
PC(38:2),0.9200233961386549,0.010946140703837953,0.059816789098750836,PC,PC 38:2,NA,NA,SPECIES,PC,PC(38:2)
PC(38:3),0.6050678798205986,0.0060645822940630645,0.04193916155984714,PC,PC 38:3,NA,NA,SPECIES,PC,PC(38:3)
PC(38:4),0.6987256369266259,9.769193490089304e-4,0.017617112260461046,PC,PC 38:4,NA,NA,SPECIES,PC,PC(38:4)
PC(38:5),0.3826869037865209,0.08132212291682892,0.17884255486993678,PC,PC 38:5,NA,NA,SPECIES,PC,PC(38:5)
PC(38:6),0.2902594174612817,0.344389744572028,0.46965188681125325,PC,PC 38:6,NA,NA,SPECIES,PC,PC(38:6)
PC(38:7),0.10603221625636329,0.7229202847353007,0.7949184431743855,PC,PC 38:7,NA,NA,SPECIES,PC,PC(38:7)
PC(40:3),0.7279395389628189,0.135091773179211,0.25314158346574334,PC,PC 40:3,NA,NA,SPECIES,PC,PC(40:3)
